transaction_amount,recipient_is_new_payee,hours_since_last_login,time_of_day,is_first_payment_to_recipient,deviation_from_avg_transaction_zscore,num_payments_today,account_age_days,is_international,is_fraud
23.77,0,24.32,19,0,0.792,2,133.1,0,0
86.13,0,22.73,10,0,-1.084,0,1232.8,0,0
76.29,0,4.13,11,0,-0.86,1,963.7,0,0
150.87,0,2.66,10,0,0.093,2,881.8,0,0
59.55,0,6.53,15,0,0.277,2,2162.3,0,0
130.64,0,28.9,14,0,1.666,0,1186.8,0,0
57.61,0,43.82,14,1,-0.759,1,1816.9,0,0
96.47,0,0.22,12,0,1.232,0,665.0,0,0
18.59,0,16.6,11,0,-0.212,1,791.0,0,0
7.08,0,16.75,14,1,-0.224,1,1551.8,0,0
91.92,0,39.67,17,0,-0.131,0,617.5,0,0
96.21,0,12.96,17,0,-0.244,1,634.3,0,0
99.9,0,77.87,17,0,0.389,2,577.9,0,0
42.68,0,13.65,9,0,-0.316,1,739.6,0,0
236.57,0,76.87,13,0,-1.128,2,1079.6,0,0
45.11,0,1.26,12,0,-0.214,3,1226.9,0,0
95.37,0,11.58,19,0,0.365,0,1034.6,0,0
110.55,0,9.95,15,0,-1.122,0,823.4,0,0
287.42,0,14.86,10,0,0.465,1,981.1,0,0
50.93,1,20.98,11,0,0.944,0,1825.3,0,0
38.27,0,3.89,10,0,1.184,2,967.9,0,0
18.66,1,1.19,13,0,0.27,0,794.3,0,0
249.51,0,3.29,11,0,-1.444,3,262.9,0,0
95.41,0,11.93,14,0,0.518,1,926.7,0,0
98.01,0,4.73,10,0,0.774,3,1519.6,0,0
943.12,0,33.6,15,0,-0.557,0,394.0,0,0
87.91,0,6.49,15,0,-0.058,2,502.6,0,0
22.04,0,19.87,9,0,0.387,1,751.5,0,0
56.46,0,29.26,18,0,1.43,2,699.6,0,0
29.12,0,10.29,8,0,-0.205,1,1010.0,0,0
47.63,0,8.25,8,0,0.713,3,2058.3,0,0
47.36,0,0.66,13,0,0.253,1,561.4,0,0
40.49,1,33.47,14,0,0.16,1,692.2,0,0
20.4,0,8.54,17,0,1.064,1,890.3,0,0
298.07,1,5.15,16,1,3.679,8,119.4,1,1
258.17,0,12.24,10,0,-0.665,2,665.7,0,0
85.97,0,4.02,13,0,0.184,1,1007.4,0,0
55.06,0,21.87,15,0,0.022,0,1208.1,0,0
126.98,0,6.4,15,0,-1.206,0,701.6,0,0
99.52,0,21.95,14,0,0.986,1,1414.2,0,0
84.3,0,0.05,15,0,0.663,2,804.2,0,0
119.37,0,14.76,7,1,0.027,3,662.6,0,0
74.73,1,40.65,13,0,-0.209,0,443.4,0,0
117.88,0,10.89,14,0,0.0,1,1265.3,0,0
126.49,0,25.8,8,0,0.566,1,1093.6,0,0
76.58,0,17.05,19,0,0.042,1,545.4,0,0
55.29,0,9.18,9,0,-0.534,1,624.0,0,0
244.9,0,16.33,16,0,-0.414,0,1051.3,0,0
394.38,1,1.76,22,0,3.15,2,66.8,1,1
44.42,0,20.0,14,0,-0.01,3,1228.1,0,0
93.0,0,36.89,19,0,-0.746,1,1111.5,0,0
94.8,0,9.58,8,0,0.267,1,1262.3,0,0
39.72,0,17.1,19,0,-0.634,1,2356.2,0,0
33.56,0,2.55,10,0,-0.763,0,1425.8,0,0
49.36,0,15.24,18,0,2.555,1,1280.6,0,0
43.89,1,74.54,8,1,1.552,2,733.9,0,0
19.31,0,16.91,17,0,0.115,0,517.6,0,0
38.33,0,1.8,14,0,0.681,1,1700.7,0,0
83.62,0,4.5,15,0,0.817,1,751.9,0,0
195.6,0,20.07,8,0,-0.06,2,1160.9,0,0
106.83,0,6.55,12,0,0.226,0,432.2,0,0
7.32,0,4.64,18,0,-0.21,1,349.4,1,0
115.02,0,21.48,10,0,1.005,1,1419.8,1,0
41.49,0,21.63,19,0,1.016,0,655.3,0,0
98.01,0,100.27,16,0,1.25,2,1156.3,0,0
65.89,0,3.16,21,0,0.213,1,659.0,0,0
56.61,0,13.32,18,0,1.734,3,1215.4,0,0
61.14,0,3.88,0,0,-0.061,0,916.1,0,0
65.43,0,17.69,19,0,1.638,0,840.3,0,0
209.09,0,11.4,13,1,-0.371,0,1105.9,0,0
65.58,0,7.97,11,0,-1.038,1,1188.0,0,0
167.79,0,22.77,18,0,1.622,1,686.5,0,0
148.25,0,25.42,13,0,0.528,3,1160.6,0,0
117.56,0,4.97,16,0,0.415,3,1203.2,0,0
14.61,0,5.28,15,0,-0.288,0,1407.3,0,0
172.28,0,4.1,11,0,-0.676,2,1617.8,0,0
45.19,0,8.24,4,0,-0.6,0,933.5,0,0
122.53,0,26.9,18,1,0.111,0,661.8,0,0
29.18,0,3.42,14,0,-0.12,3,585.2,0,0
24.35,0,0.4,14,0,-1.552,0,711.0,0,0
357.78,0,63.92,8,0,1.355,1,739.3,0,0
29.56,0,9.13,16,0,-0.336,1,795.4,0,0
176.65,0,0.05,18,0,0.991,1,920.5,0,0
73.75,0,35.53,19,0,-0.565,2,1020.6,0,0
46.66,0,2.24,14,0,0.124,2,1048.9,0,0
64.19,0,32.18,22,0,0.778,0,1319.2,0,0
22.07,1,15.04,17,0,0.667,0,1695.6,0,0
65.91,0,17.58,9,0,-0.214,2,1053.1,0,0
26.57,0,34.6,17,0,0.407,0,740.2,0,0
47.65,0,8.22,11,0,0.541,3,1306.8,0,0
146.42,0,0.29,4,0,-0.118,2,1269.4,0,0
82.77,0,8.32,23,0,-0.891,0,704.3,0,0
18.92,0,5.36,13,0,-0.5,2,1279.2,0,0
137.52,1,15.56,15,0,-0.303,3,220.6,0,0
66.29,0,24.61,21,0,0.021,2,583.1,0,0
42.06,0,31.19,14,0,1.274,0,520.8,0,0
125.8,0,19.99,12,0,0.726,1,153.8,0,0
57.85,0,6.18,13,0,-0.653,0,600.7,0,0
24.76,1,35.6,14,0,1.469,2,1319.7,0,0
320.74,0,44.19,14,0,-0.063,3,833.8,0,0
65.71,1,1.03,11,0,0.538,0,1393.7,0,0
62.23,0,37.98,14,0,-0.751,2,1765.3,0,0
47.26,0,18.2,11,0,-0.362,0,1723.4,0,0
701.41,1,7.56,22,1,3.322,6,59.6,1,1
181.81,0,11.68,19,0,0.83,1,693.8,0,0
42.69,0,48.58,14,0,-0.703,1,850.7,0,0
17.94,0,3.12,20,1,0.044,1,933.3,0,0
37.45,0,16.23,12,0,0.377,2,1883.1,0,0
205.98,0,15.38,12,0,-0.818,2,687.3,0,0
135.28,0,1.69,11,0,-1.422,1,1498.3,0,0
53.69,0,12.52,14,0,0.726,2,1156.5,0,0
214.28,0,5.25,15,0,2.291,0,262.5,0,0
125.93,0,5.35,14,0,0.367,2,819.6,0,0
53.16,0,24.4,18,0,0.521,1,565.5,0,0
57.92,1,13.79,14,0,-0.707,3,806.1,0,0
88.23,0,10.81,17,0,1.176,3,270.2,0,0
32.88,0,66.03,20,0,-0.301,1,1938.2,0,0
66.94,0,2.46,12,0,0.931,1,769.4,0,0
86.68,1,1.01,16,0,0.486,0,810.0,0,0
15.9,0,48.44,12,0,0.505,0,1849.8,0,0
56.77,0,4.01,16,0,0.475,1,476.0,0,0
51.54,0,19.15,15,0,0.449,2,1177.7,1,0
159.79,0,40.04,2,0,0.227,0,652.3,0,0
13.9,0,10.69,14,0,0.775,0,354.5,0,0
48.22,0,7.42,18,0,-0.581,2,1246.7,0,0
372.78,1,1.15,1,1,3.685,5,93.4,0,1
44.28,0,4.88,16,0,-0.191,0,1640.1,0,0
150.82,0,2.06,19,0,1.174,2,907.1,0,0
64.26,0,4.05,9,0,0.138,0,1335.4,0,0
306.95,0,14.72,17,0,-0.261,0,685.9,0,0
117.08,0,12.93,18,0,0.828,0,1196.6,0,0
47.05,0,8.1,19,0,0.67,2,948.3,0,0
81.75,0,6.98,14,0,-1.04,1,724.3,0,0
49.36,0,0.88,13,0,0.584,0,552.6,0,0
138.45,0,25.53,15,0,0.11,0,1625.8,0,0
21.49,0,2.7,18,0,0.57,0,965.3,0,0
33.11,0,52.65,18,0,0.009,1,782.7,0,0
590.43,1,0.67,1,1,3.027,3,6.5,0,1
98.23,0,1.04,19,0,0.371,0,831.6,0,0
189.03,0,18.14,19,0,-1.465,1,1213.8,0,0
10.26,0,3.87,15,0,-0.716,0,1315.3,0,0
214.5,0,2.11,11,0,0.592,0,951.1,0,0
59.2,0,2.27,19,0,2.097,0,1166.3,0,0
13.45,0,17.87,18,0,0.294,0,804.9,0,0
5.2,0,35.62,9,0,-0.554,1,854.4,0,0
18.17,0,60.4,8,0,0.108,0,1256.0,0,0
65.58,0,44.16,13,0,-0.715,1,791.3,0,0
63.05,0,20.97,16,0,1.0,1,530.7,0,0
114.23,0,77.64,16,0,0.038,0,1225.3,0,0
41.8,0,40.37,11,0,0.843,1,1125.2,0,0
26.0,0,33.36,5,0,-0.123,0,1417.5,0,0
46.94,0,21.95,1,0,0.914,2,1217.0,0,0
68.62,0,20.25,17,0,-1.299,0,1110.7,0,0
81.14,0,17.67,19,1,0.02,0,492.2,0,0
34.1,0,32.06,20,0,0.432,1,938.8,0,0
143.48,0,1.47,9,0,-0.215,0,742.0,0,0
39.32,0,2.25,6,0,0.288,3,1212.5,0,0
31.84,0,32.23,10,0,0.274,1,1936.0,0,0
42.05,0,20.32,9,0,0.839,2,1303.4,0,0
166.27,0,6.86,18,0,0.497,0,474.9,0,0
59.57,0,21.77,16,1,0.314,2,1081.5,0,0
36.95,0,10.82,22,0,0.704,1,744.2,0,0
146.52,0,1.12,11,0,-1.082,1,1271.0,0,0
412.13,0,10.04,19,0,-0.602,0,1367.1,0,0
79.7,0,13.4,19,0,-1.108,1,925.8,0,0
190.33,0,18.78,8,0,0.439,0,795.4,0,0
160.88,1,39.58,18,0,0.331,0,1109.4,0,0
39.85,0,0.2,9,0,1.108,2,703.0,0,0
1761.96,1,1.37,22,1,2.572,6,137.3,1,1
68.21,0,16.81,13,0,0.281,1,1385.4,0,0
22.42,0,1.25,10,0,-0.505,0,1221.2,0,0
56.03,0,6.12,18,0,0.107,0,779.9,1,0
39.16,0,6.93,8,0,-1.5,1,568.4,1,0
47.35,1,74.96,18,0,-0.327,0,1056.7,0,0
35.25,1,12.52,12,0,-1.878,1,1501.9,0,0
52.25,1,6.3,18,0,0.263,2,1341.6,0,0
104.84,0,5.19,13,0,-0.223,1,526.3,0,0
60.25,0,0.57,17,0,-0.106,0,1164.7,0,0
13.67,0,7.61,16,0,-0.745,4,1221.2,0,0
35.37,0,6.88,5,1,-0.535,0,859.6,0,0
18.33,0,8.64,12,0,0.554,2,967.2,0,0
82.06,0,10.18,14,0,-1.149,0,1309.8,0,0
102.29,0,10.12,11,0,0.405,1,1015.1,0,0
82.94,1,4.16,8,0,-0.649,3,320.8,0,0
34.15,0,2.8,18,0,-1.345,2,640.4,0,0
82.26,0,5.82,14,0,0.981,0,773.4,0,0
44.72,0,56.81,12,0,1.063,1,649.2,0,0
25.34,0,29.3,17,0,-0.432,0,1380.9,0,0
125.29,0,6.8,17,0,-0.439,0,1144.6,0,0
133.66,0,25.32,19,0,-0.201,0,490.6,0,0
149.39,0,2.53,13,0,-0.648,1,1133.4,0,0
39.76,0,7.29,9,0,-0.507,2,1429.2,0,0
181.72,0,34.36,13,0,0.36,1,862.4,0,0
43.84,0,5.25,13,0,1.659,1,1099.7,0,0
116.22,0,25.93,10,0,-0.284,2,995.0,0,0
43.19,0,15.46,15,0,0.818,0,551.9,0,1
55.13,0,10.11,12,1,0.282,4,1135.3,0,0
8.52,0,18.38,10,0,-1.338,1,735.6,0,0
51.59,0,54.93,8,0,-0.02,0,1745.2,0,0
72.05,0,16.26,9,0,-0.12,1,534.5,0,0
47.06,0,16.71,15,0,1.172,1,944.9,0,0
296.71,0,24.88,10,0,1.204,0,1466.1,0,0
24.83,0,7.86,12,0,0.301,0,779.4,0,0
41.3,1,14.23,18,0,0.971,1,1125.5,0,0
30.9,0,6.01,12,0,-0.117,1,3240.6,0,0
41.3,0,9.31,15,0,0.895,0,1418.2,0,0
160.24,1,22.51,14,0,0.08,1,1152.3,0,0
234.24,0,9.81,18,0,0.878,4,1337.2,0,0
36.76,0,0.15,15,0,0.96,0,1179.7,0,0
36.07,1,0.49,18,0,0.573,1,627.0,0,0
24.94,0,52.79,18,0,-0.593,1,1109.9,0,0
202.42,0,12.28,8,0,-0.336,2,2288.8,0,0
172.92,0,18.59,18,0,0.602,0,1607.1,0,0
60.94,0,32.21,19,0,0.715,2,833.0,0,0
20.35,0,12.16,8,0,0.127,2,879.5,0,0
21.96,0,3.35,13,0,-0.25,0,2361.9,0,0
77.09,0,24.96,11,0,0.153,1,944.4,0,0
106.37,0,18.27,8,0,-0.223,1,786.4,0,0
11.52,1,30.77,12,0,-0.218,1,636.2,0,0
50.75,0,54.5,10,0,1.568,1,1030.6,0,0
263.9,0,1.23,9,1,-0.38,0,763.3,0,0
55.43,1,0.5,17,0,0.406,1,1011.0,0,0
236.56,0,73.03,8,0,0.122,1,1137.9,0,0
115.78,0,27.45,15,0,-0.981,0,1698.1,0,0
26.53,0,49.53,14,0,-1.009,0,871.5,0,0
52.0,0,2.09,8,0,-0.065,0,314.9,0,0
59.78,0,26.66,10,0,-1.562,0,850.7,0,0
29.68,0,50.28,19,0,1.464,0,856.1,0,0
29.24,0,79.7,13,0,-0.289,1,823.6,0,0
240.03,0,33.14,11,0,-0.355,1,925.5,0,0
29.06,0,37.67,18,0,0.978,2,376.2,0,0
166.78,0,22.87,8,0,-0.113,1,545.8,0,0
46.02,0,2.84,11,0,0.521,2,806.3,0,0
65.25,0,19.67,18,0,-0.458,1,1417.2,0,0
107.51,0,11.03,17,0,0.036,0,954.4,0,0
40.09,0,8.42,13,0,0.775,0,1222.2,0,0
108.06,0,9.84,18,0,-0.689,0,508.7,0,0
11.71,1,2.98,14,0,0.422,0,673.6,0,0
96.91,0,25.36,16,1,-1.933,3,174.4,0,0
8.18,0,0.92,5,0,1.012,2,348.5,0,0
54.99,0,34.45,14,0,-0.445,2,2189.4,0,0
137.84,0,1.04,13,1,-0.069,3,492.2,0,0
113.18,0,8.36,15,0,-0.078,0,595.9,0,0
22.12,0,11.19,2,0,-0.78,0,260.9,0,0
24.67,0,29.78,13,0,-0.841,1,661.6,0,0
37.14,0,24.37,16,0,0.417,1,1883.4,0,0
78.12,0,58.61,20,1,0.455,3,501.5,0,0
11.86,0,5.13,16,0,-0.708,1,894.5,0,0
65.94,0,6.27,12,0,0.433,2,686.9,0,0
86.9,0,4.07,10,0,0.446,2,760.1,0,0
52.43,0,5.43,9,1,-0.303,4,443.4,0,0
104.22,1,30.44,14,0,-1.035,0,697.2,0,0
80.65,0,11.42,10,0,-0.03,3,1262.3,0,0
42.08,0,25.82,12,0,0.292,2,890.1,0,0
12.86,0,5.91,4,1,-0.047,2,1118.8,0,0
74.69,0,2.58,8,0,-0.474,0,530.5,0,0
29.66,0,13.76,13,0,0.374,1,1332.8,0,0
40.79,0,3.33,11,0,1.012,4,918.9,0,0
100.21,0,16.5,11,0,-0.616,1,768.4,1,0
222.46,0,7.94,18,0,-0.238,1,820.7,0,0
64.56,0,8.63,19,0,2.195,0,975.6,0,0
106.8,0,29.2,11,0,0.233,1,957.4,0,0
19.53,0,13.04,19,0,-1.013,0,1698.0,0,0
82.16,0,2.28,10,0,-0.382,2,993.9,0,0
63.38,0,7.74,12,0,-0.606,1,976.2,0,0
189.59,0,9.96,19,1,0.304,0,871.7,0,0
42.12,0,15.65,9,0,0.246,0,1070.5,0,0
54.3,0,72.68,12,0,-0.509,0,1393.8,0,0
164.02,0,1.24,17,0,1.485,1,345.7,0,0
61.67,0,19.35,7,0,0.068,1,323.7,0,0
25.98,1,34.05,19,0,-0.365,0,855.5,0,0
583.41,0,2.23,18,0,-0.977,0,640.6,0,0
26.66,0,38.21,19,0,-0.716,1,951.6,0,0
63.12,0,6.77,9,1,-0.997,2,962.3,0,0
89.54,0,0.45,15,0,-0.152,0,849.6,0,0
83.72,0,36.84,12,0,-0.708,3,1566.1,1,0
56.75,0,24.8,9,0,0.627,0,609.5,0,0
56.99,0,4.58,9,0,-0.468,0,672.3,0,0
54.61,0,11.13,1,0,0.672,0,1773.7,0,0
25.83,0,4.94,20,0,0.393,1,490.9,0,0
414.75,1,18.88,15,0,0.516,0,823.0,0,0
55.31,0,14.18,10,0,0.717,0,782.1,0,0
110.76,1,3.73,15,0,1.595,2,1156.1,0,0
50.18,0,11.43,13,0,-0.679,1,898.2,0,0
49.33,0,30.5,9,0,0.677,0,455.4,0,0
45.28,0,3.88,12,0,0.318,3,725.1,0,0
17.86,0,9.63,16,0,0.851,2,683.8,0,0
58.18,0,7.97,17,0,0.089,1,1257.0,0,0
47.18,1,44.81,11,0,0.941,0,1769.8,0,0
180.51,0,0.51,11,0,-1.033,0,1567.1,0,0
24.11,0,29.23,16,0,-0.803,2,884.6,0,0
40.83,1,4.32,13,0,-0.455,0,1431.4,0,0
31.07,0,0.72,8,0,-0.06,2,1443.1,0,0
429.45,1,0.56,5,1,3.357,3,252.3,1,1
227.27,0,7.91,9,0,0.037,2,1945.7,0,0
31.85,0,10.87,8,0,-0.592,0,136.0,0,0
107.55,0,43.55,11,0,-0.793,0,763.1,0,0
152.12,0,3.24,9,0,-0.524,3,1228.3,0,0
58.9,0,68.81,17,0,-1.367,1,654.6,0,0
20.69,0,22.38,13,0,-0.231,0,464.2,0,0
20.92,0,1.82,16,0,-0.047,3,521.7,0,0
138.49,0,32.12,8,0,0.353,1,1090.9,0,0
22.84,1,12.63,12,0,0.133,0,683.4,0,0
93.06,0,58.13,13,0,1.435,2,527.0,0,0
73.49,0,2.31,4,0,0.65,1,1791.6,0,0
91.89,0,43.67,19,0,0.59,2,1080.8,0,0
99.57,0,1.35,13,0,0.292,1,1659.2,0,0
30.16,0,6.87,13,0,0.429,3,772.4,0,0
29.1,0,3.55,18,0,-0.177,1,1350.2,0,0
122.45,0,51.09,21,1,0.08,0,575.9,0,0
39.06,0,15.29,12,0,1.537,1,682.8,0,0
6.44,0,12.95,9,0,-0.056,0,758.4,0,0
115.75,0,4.9,16,0,-1.065,0,688.9,0,0
1265.81,1,0.71,5,1,3.405,3,186.2,0,0
27.64,0,0.91,8,0,0.557,2,509.2,0,0
99.19,0,22.05,10,0,0.7,0,712.4,0,0
217.87,0,18.22,13,0,0.124,1,414.2,0,0
67.64,0,129.53,20,0,-1.503,0,949.3,0,0
155.46,0,8.27,8,0,1.029,2,1505.6,0,0
76.0,0,21.21,14,0,0.184,2,645.6,0,0
257.06,0,7.96,7,0,-0.248,2,847.3,0,0
770.85,1,1.5,15,1,3.086,5,187.2,0,1
27.04,0,14.83,17,0,0.95,1,1442.5,0,0
66.22,0,18.89,13,0,-1.62,3,1812.2,0,0
118.18,1,15.49,15,0,0.089,2,1390.6,0,0
56.72,0,22.9,16,0,-0.433,2,961.5,0,0
177.57,0,46.08,14,1,1.194,2,1171.8,0,0
46.19,0,10.25,12,0,0.194,1,1221.8,0,0
387.21,1,3.42,9,0,-0.692,1,1180.6,0,0
404.99,0,13.94,5,0,0.911,1,680.7,0,0
84.75,0,19.04,19,0,-1.967,1,1314.8,0,0
106.67,0,5.11,12,0,0.406,1,1494.0,0,0
183.63,0,8.91,9,0,-1.011,1,259.1,0,0
24.31,0,22.31,9,0,-0.37,0,761.7,0,0
21.86,0,15.57,18,0,-0.193,1,1125.4,0,0
194.02,0,21.86,18,0,0.728,2,1016.7,0,0
84.17,0,2.02,13,0,1.763,1,1136.2,0,0
55.01,0,15.77,18,0,-1.424,1,545.5,0,0
67.32,0,16.47,10,0,0.357,1,251.2,0,0
8.77,0,25.23,12,0,1.762,2,981.5,0,0
56.71,0,8.42,9,0,-0.458,0,882.3,0,0
35.16,0,6.89,14,0,-0.508,1,1479.8,0,0
145.53,0,19.54,16,0,0.189,1,1131.7,0,0
155.36,0,22.23,19,0,0.663,3,261.5,0,0
108.87,0,34.85,17,0,0.526,0,1144.9,0,0
93.33,0,20.27,15,1,-0.287,2,1679.7,0,0
18.68,0,17.34,16,0,-0.642,1,1455.2,0,0
110.17,0,4.76,15,0,1.053,1,1133.4,0,0
113.86,0,3.32,13,0,-0.62,1,719.2,0,0
192.18,0,21.92,21,0,-1.533,1,837.1,0,0
403.62,0,26.49,10,1,-1.163,1,826.7,0,0
15.82,0,0.92,21,0,-0.461,1,1225.4,0,0
47.93,0,4.08,17,1,1.194,0,1189.8,0,0
35.48,0,12.18,13,0,-0.951,4,947.0,0,0
77.22,0,16.37,18,0,1.218,2,1404.7,0,0
67.45,0,2.62,9,0,1.045,0,640.5,0,0
54.65,1,31.68,16,1,0.18,0,1351.5,0,0
159.73,0,31.2,11,0,-2.039,1,1828.1,0,0
26.15,0,9.41,18,1,-0.947,1,1597.1,0,0
27.52,0,33.82,12,0,-0.507,0,1357.3,0,0
27.92,0,14.25,15,0,1.385,1,709.9,0,0
49.09,0,6.88,9,0,-0.455,3,1062.7,0,1
23.47,0,1.62,14,0,-0.618,2,1693.0,0,0
63.99,0,8.1,22,0,0.151,0,1216.5,0,0
57.94,0,11.28,15,0,-1.128,0,1037.4,0,0
34.17,0,13.94,15,0,-0.02,1,1211.9,0,0
140.15,0,27.72,9,0,-0.639,2,2069.9,0,0
63.4,0,4.76,8,0,2.15,1,1572.3,0,0
164.56,0,3.3,9,0,-0.734,0,1910.8,0,0
56.5,0,10.63,10,0,1.544,0,1535.4,0,0
65.33,0,8.9,16,0,-0.912,1,842.8,0,0
41.33,0,5.44,11,0,0.21,0,569.1,0,0
66.29,0,14.56,3,0,0.4,1,832.0,0,0
122.17,0,3.97,9,0,0.113,0,1015.4,0,0
47.01,0,33.35,14,0,0.064,2,1492.3,0,0
103.61,0,20.16,12,0,0.689,3,1375.1,0,0
33.42,0,13.02,21,0,0.334,1,638.2,0,0
