sme_id,month,monthly_inflow,monthly_outflow,overdraft_days_used,late_supplier_payments,inflow_volatility_3m,cash_runway_months,distressed_within_6_months
SME-008,2,52189.5,45150.4,2,1,0.0216,12.37,0
SME-008,3,48430.0,31307.71,3,1,0.0484,11.8,0
SME-008,4,70910.03,51615.49,3,0,0.172,12.59,0
SME-008,5,54368.18,56947.5,3,0,0.1643,13.33,0
SME-008,6,64199.19,49149.29,3,0,0.1076,11.74,0
SME-008,7,57097.97,49546.02,2,0,0.0708,10.79,0
SME-008,8,56522.17,47581.99,1,0,0.0589,11.36,0
SME-008,9,52506.04,43513.94,0,0,0.0369,11.98,0
SME-008,10,57491.15,38181.11,0,0,0.0389,11.46,0
SME-008,11,56167.13,46652.08,4,0,0.0381,12.27,0
SME-008,12,53646.87,33114.21,3,0,0.0286,11.41,0
SME-009,1,42288.86,37083.46,2,1,0.0885,11.23,0
SME-009,2,43848.1,37003.26,1,0,0.0181,11.66,0
SME-009,3,48058.07,45276.27,3,0,0.0545,10.32,0
SME-009,4,50149.41,37820.46,3,0,0.0553,11.58,0
SME-009,5,50754.28,42861.15,0,1,0.0233,12.26,0
SME-009,6,54754.55,49180.16,0,0,0.0394,11.87,0
SME-009,7,59189.8,50806.62,1,0,0.0628,11.51,0
SME-009,8,49884.77,43462.61,4,1,0.0696,10.96,0
SME-009,9,63522.19,50158.6,3,1,0.0989,11.29,0
SME-009,10,52171.07,37063.9,1,0,0.108,11.37,0
SME-009,11,50396.52,41640.14,2,1,0.105,11.12,0
SME-009,12,42998.09,37951.06,2,2,0.0819,10.58,0
SME-010,1,38111.58,36805.05,3,1,0.1191,13.98,0
SME-010,2,41529.99,39881.65,1,0,0.0429,14.27,0
SME-010,3,40793.71,36966.17,3,0,0.0366,14.71,0
SME-010,4,38015.9,27113.81,1,0,0.0377,13.77,0
SME-010,5,38898.37,36450.92,2,0,0.0295,12.76,0
SME-010,6,38748.32,25948.47,1,0,0.01,14.57,0
SME-010,7,41950.79,34367.25,0,0,0.037,13.92,0
SME-010,8,46813.32,38087.48,3,0,0.078,13.97,0
SME-010,9,36648.9,28758.37,7,0,0.0993,14.73,0
SME-010,10,41641.06,38056.72,1,0,0.0995,14.72,0
SME-010,11,38252.27,38119.32,0,0,0.0536,13.33,0
SME-010,12,43458.74,44964.69,0,1,0.0525,13.79,0
SME-011,1,30816.68,21786.22,1,0,0.105,5.78,0
SME-011,2,20977.18,16123.76,1,1,0.19,5.39,0
SME-011,3,19131.08,14526.09,5,2,0.217,6.16,0
SME-011,4,22663.16,18470.11,2,2,0.0689,6.0,0
SME-011,5,25610.5,18802.94,2,1,0.1179,5.34,0
SME-011,6,21846.74,14717.36,0,0,0.0692,5.13,0
SME-011,7,20120.73,14928.33,2,0,0.1018,4.39,0
SME-011,8,18349.05,13485.57,1,0,0.071,6.25,0
SME-011,9,20976.55,15982.34,2,0,0.0552,4.44,0
SME-011,10,19273.34,14644.69,0,0,0.0557,5.33,0
SME-011,11,23985.1,20587.16,2,1,0.091,5.6,0
SME-011,12,20800.03,18827.53,1,0,0.0919,5.34,0
SME-012,1,46860.32,50430.72,0,0,0.1216,9.03,0
SME-012,2,25431.63,21740.75,3,0,0.2964,9.87,0
SME-012,3,35218.73,26058.38,2,0,0.2444,8.91,0
SME-012,4,31780.86,28787.12,0,1,0.1316,10.22,0
SME-012,5,32046.89,30399.77,0,1,0.0473,9.15,0
SME-012,6,40895.52,31225.87,0,0,0.1213,9.9,0
SME-012,7,32746.51,26257.43,1,0,0.114,10.92,0
SME-012,8,34632.18,33395.29,0,2,0.0965,8.91,0
SME-012,9,25781.19,17062.64,0,2,0.1226,9.89,0
SME-012,10,37065.63,28841.14,1,1,0.1492,9.98,0
SME-012,11,30759.36,23305.34,3,0,0.148,9.23,0
SME-012,12,33343.2,30955.12,0,0,0.0768,10.37,0
SME-013,1,25824.17,19459.28,2,0,0.1061,8.92,0
SME-013,2,22879.13,18782.63,1,0,0.0605,8.07,0
SME-013,3,32633.63,24384.47,2,1,0.1507,8.02,0
SME-013,4,22754.09,19504.89,2,1,0.1774,8.29,0
SME-013,5,23441.05,18611.17,0,1,0.1714,7.97,0
SME-013,6,30231.95,18446.9,2,1,0.1325,8.07,0
SME-013,7,33861.68,29596.58,1,1,0.148,8.23,0
SME-013,8,28793.81,18869.69,1,1,0.0689,6.94,0
SME-013,9,27876.68,24160.62,3,0,0.0872,7.9,0
SME-013,10,21684.39,18908.51,2,1,0.1209,8.29,0
SME-013,11,20777.8,18976.58,0,1,0.1345,7.23,0
SME-013,12,26412.05,23485.6,1,0,0.1076,8.49,0
SME-014,1,19937.94,18426.62,0,2,0.1026,13.03,0
SME-014,2,19982.17,15573.2,3,1,0.0011,13.41,0
SME-014,3,18165.88,14368.67,1,0,0.0437,14.53,0
SME-014,4,20089.83,14197.99,2,0,0.0455,13.98,0
SME-014,5,14765.59,12106.85,0,0,0.1246,12.85,0
SME-014,6,22668.06,19462.03,5,1,0.1716,13.57,0
SME-014,7,19603.75,17297.93,2,0,0.1711,12.51,0
SME-014,8,19070.34,16379.29,0,1,0.0775,13.1,0
SME-014,9,23145.12,16033.96,0,0,0.0878,14.5,0
SME-014,10,20477.36,14812.22,2,0,0.0809,13.36,0
SME-014,11,17568.66,12115.32,3,0,0.1116,13.24,0
SME-014,12,25715.94,15752.39,2,0,0.1586,14.02,0
SME-015,1,53883.14,50722.98,2,0,0.1203,12.07,0
SME-015,2,56628.55,43615.87,0,0,0.0248,10.81,0
SME-015,3,52736.94,41542.69,2,0,0.03,11.34,0
SME-015,4,53657.77,36131.43,1,0,0.0306,12.99,0
SME-015,5,63082.6,48379.5,1,1,0.0828,11.49,0
SME-015,6,62649.06,49168.97,2,1,0.0727,11.31,0
SME-015,7,45268.76,38061.41,3,0,0.1456,10.74,0
SME-015,8,51804.21,47176.49,3,0,0.1346,10.91,0
SME-015,9,48300.82,47161.13,1,2,0.0551,11.26,0
SME-015,10,57689.29,38928.65,0,0,0.0736,11.37,0
SME-015,11,50854.44,37550.31,1,0,0.0758,11.89,0
SME-015,12,43429.17,37637.01,2,0,0.115,11.89,0
SME-016,1,44602.5,36181.25,0,0,0.1477,6.9,0
SME-016,2,25495.26,16634.57,4,2,0.2726,6.31,0
SME-016,3,31776.06,28877.08,0,0,0.2342,5.24,0
SME-016,4,36765.4,31376.84,3,0,0.1471,6.82,0
SME-016,5,26626.56,19013.46,3,0,0.1305,7.16,0
SME-016,6,32622.61,21034.98,1,0,0.13,5.55,0
SME-016,7,30469.61,22687.02,3,0,0.0829,6.85,0
SME-016,8,33040.18,25167.39,0,2,0.0351,6.06,0
SME-016,9,28652.81,23325.99,1,0,0.0586,6.29,0
SME-016,10,35373.01,28198.42,1,0,0.0861,6.98,0
SME-016,11,24733.33,20583.88,0,0,0.1485,6.71,0
SME-016,12,30560.5,24052.86,2,0,0.1439,6.16,0
SME-017,1,23568.38,22205.24,2,2,0.1398,11.12,0
SME-017,2,18319.08,15745.87,1,3,0.1253,10.28,0
SME-017,3,22220.8,20016.93,2,1,0.1042,10.0,0
SME-017,4,24235.69,21748.2,1,3,0.1137,10.63,0
SME-017,5,25994.58,20037.8,2,2,0.0638,10.96,0
SME-017,6,22379.59,19488.28,3,0,0.061,9.6,0
SME-017,7,22521.58,19812.07,2,1,0.0707,10.72,0
SME-017,8,21178.82,18370.49,0,3,0.0273,11.74,0
SME-017,9,19162.8,16890.8,2,0,0.0659,10.42,0
SME-017,10,23253.69,19081.89,3,1,0.0788,10.97,0
SME-017,11,23524.05,19240.53,0,0,0.0908,9.86,0
SME-017,12,20732.37,21439.27,0,0,0.0559,10.13,0
SME-018,1,31781.12,21520.45,2,0,0.0566,13.2,0
SME-018,2,55228.07,35834.48,0,2,0.2695,12.17,0
SME-018,3,40943.05,41120.06,2,2,0.2262,13.8,0
SME-018,4,38985.23,27594.76,3,0,0.1607,14.03,0
SME-018,5,32568.65,24041.73,1,0,0.0954,12.93,0
SME-018,6,36779.04,29656.65,3,1,0.0737,13.95,0
SME-018,7,32702.76,25551.04,1,0,0.0574,14.26,0
SME-018,8,42518.87,29034.85,2,1,0.1079,13.94,0
SME-018,9,35537.73,26371.57,1,0,0.1117,13.8,0
SME-018,10,50320.8,52799.46,1,1,0.1411,13.1,0
SME-018,11,34158.95,24065.12,1,0,0.1829,12.95,0
SME-018,12,58695.67,44441.11,2,2,0.2134,13.57,0
SME-019,1,17437.99,13443.63,2,0,0.117,4.88,0
SME-019,2,28273.25,20101.2,0,0,0.237,4.55,0
SME-019,3,18924.19,15787.54,1,1,0.2226,4.7,0
SME-019,4,26093.53,21824.21,2,1,0.1635,4.74,0
SME-019,5,28057.24,19255.03,1,0,0.1611,4.81,0
SME-019,6,22989.69,21598.68,5,0,0.0811,4.23,0
SME-019,7,26952.47,25924.86,4,0,0.0837,4.95,0
SME-019,8,26595.88,23316.84,2,0,0.0702,4.4,0
SME-019,9,24564.0,23679.74,2,1,0.0404,4.51,0
SME-019,10,26905.66,21611.28,1,0,0.0399,4.98,0
SME-019,11,22261.82,18925.28,1,1,0.0771,4.12,0
SME-019,12,29889.15,29319.45,1,0,0.1191,5.09,0
SME-020,1,17746.8,13993.31,4,0,0.348,2.47,1
SME-020,2,23607.57,20337.13,0,1,0.1417,1.49,1
SME-020,3,19894.06,15010.87,2,1,0.1186,1.93,1
SME-020,4,17832.97,13472.15,2,1,0.1169,2.4,1
SME-020,5,18996.77,18620.43,1,5,0.0446,0.47,1
SME-020,6,22853.75,14426.94,2,1,0.1079,2.64,1
SME-020,7,22024.85,20318.56,4,0,0.1012,1.74,1
SME-020,8,21831.12,17618.53,6,2,0.0687,0.84,1
SME-020,9,15725.49,13615.06,7,2,0.2113,1.85,1
SME-020,10,16904.39,15965.8,3,2,0.2227,1.53,1
SME-020,11,22455.41,18477.67,2,1,0.2304,1.82,1
SME-020,12,16231.16,16058.8,4,3,0.2877,1.94,1
SME-021,1,34767.51,35234.2,0,0,0.1322,12.11,0
SME-021,2,38793.71,25465.35,1,0,0.0547,12.53,0
SME-021,3,40878.04,27288.99,2,0,0.0665,12.75,0
SME-021,4,38294.26,29653.07,0,0,0.0285,12.14,0
SME-021,5,37526.74,26519.78,1,1,0.0369,12.19,0
SME-021,6,26016.58,20718.33,2,0,0.1654,11.66,0
SME-021,7,38050.84,32297.15,1,1,0.164,12.38,0
SME-021,8,41075.16,40165.67,1,1,0.1856,12.15,0
SME-021,9,37989.67,25795.37,0,0,0.0369,12.51,0
SME-021,10,55870.68,45360.85,6,0,0.1735,12.08,0
SME-021,11,35864.05,27292.89,1,1,0.2075,11.69,0
SME-021,12,30754.32,18846.67,1,0,0.2654,11.17,0
SME-022,1,37985.16,31714.82,0,3,0.0926,7.13,0
SME-022,2,32853.89,27697.72,4,1,0.0724,6.95,0
SME-022,3,27855.72,26719.64,1,1,0.1257,7.24,0
SME-022,4,33397.8,31492.12,1,0,0.0795,7.6,0
SME-022,5,38461.84,34197.64,1,0,0.1303,7.42,0
SME-022,6,36424.2,29790.41,1,0,0.0576,6.95,0
SME-022,7,36221.49,28772.84,0,0,0.0273,7.1,0
SME-022,8,38065.14,34489.53,2,2,0.0224,7.53,0
SME-022,9,40393.19,33451.41,1,1,0.0447,7.61,0
SME-022,10,32441.91,23790.37,2,0,0.0903,7.36,0
SME-022,11,39749.11,28620.4,2,0,0.0961,6.94,0
SME-022,12,39449.7,28757.67,0,0,0.0907,8.11,0
SME-023,1,35682.15,29536.92,1,0,0.0648,4.71,0
SME-023,2,38229.89,35996.38,1,0,0.0345,5.21,0
SME-023,3,43020.0,50189.09,1,3,0.078,4.62,0
SME-023,4,60067.68,58029.15,1,0,0.1989,4.9,0
SME-023,5,46440.1,33615.98,1,0,0.1477,4.43,0
SME-023,6,42031.0,37217.53,1,1,0.1551,4.63,0
SME-023,7,48193.01,46904.38,3,0,0.0569,4.4,0
SME-023,8,45417.07,41134.08,3,1,0.0557,4.44,0
SME-023,9,38860.96,36150.89,1,2,0.0886,4.28,0
SME-023,10,37855.46,41401.22,0,0,0.0824,4.86,0
SME-023,11,44760.02,36328.77,2,1,0.0752,5.15,0
SME-023,12,41557.15,31087.48,0,0,0.0682,5.52,0
SME-024,1,29200.07,22076.39,2,2,0.1132,8.79,0
SME-024,2,24585.18,22684.66,1,1,0.0858,8.47,0
SME-024,3,26782.07,20473.08,1,0,0.0702,7.03,0
SME-024,4,21126.09,23082.69,2,0,0.0963,9.32,0
SME-024,5,26264.42,24178.75,2,1,0.1033,8.96,0
SME-024,6,29643.66,29838.64,1,0,0.1364,10.13,0
SME-024,7,22747.17,18648.85,0,0,0.1074,8.23,0
SME-024,8,17161.46,14192.79,2,0,0.2202,9.43,0
SME-024,9,26207.35,25215.04,0,0,0.1691,8.75,0
SME-024,10,27082.78,24657.71,1,0,0.191,8.57,0
SME-024,11,26793.68,27148.76,1,0,0.0136,9.0,0
SME-024,12,18517.47,19246.69,0,2,0.1646,8.86,0
SME-025,1,40338.93,33374.51,0,1,0.1783,10.49,0
SME-025,2,34955.7,28107.19,2,0,0.0715,12.03,0
SME-025,3,39318.66,30902.19,3,1,0.0611,12.29,0
SME-025,4,44722.22,39385.83,2,0,0.1007,12.44,0
SME-025,5,41980.24,29230.14,0,1,0.0525,11.49,0
SME-025,6,35318.77,31190.07,2,1,0.0971,11.57,0
SME-025,7,34541.62,27703.02,1,2,0.0896,11.99,0
SME-025,8,42001.98,30473.36,1,0,0.0898,11.79,0
SME-025,9,31697.52,20117.57,0,0,0.1204,11.27,0
SME-025,10,38974.28,26948.01,4,1,0.1151,11.78,0
SME-025,11,34152.69,18741.0,1,1,0.0865,10.83,0
SME-025,12,41924.87,35989.47,1,0,0.0835,10.34,0
SME-026,1,19200.92,18126.38,2,0,0.0565,6.85,0
SME-026,2,21860.65,15940.23,3,2,0.0648,8.23,0
SME-026,3,18590.74,15447.28,2,1,0.0714,7.48,0
SME-026,4,17755.5,16043.87,2,2,0.0913,7.73,0
SME-026,5,21764.02,16677.52,0,0,0.0891,6.99,0
SME-026,6,15752.25,12740.5,1,0,0.1357,7.44,0
SME-026,7,22782.15,20323.27,2,3,0.1543,6.56,0
SME-026,8,19501.02,17606.71,0,2,0.1485,7.66,0
SME-026,9,18667.52,15171.55,1,0,0.0874,7.68,0
SME-026,10,21220.57,16072.58,1,0,0.0537,8.9,0
SME-026,11,18610.67,11786.86,1,0,0.0624,7.82,0
SME-026,12,21802.85,19039.78,3,1,0.0676,7.35,0
SME-027,1,60794.61,51804.4,3,1,0.0521,14.25,0
SME-027,2,64051.14,43916.07,0,0,0.0261,13.92,0
SME-027,3,62653.21,60712.71,0,0,0.0213,14.25,0
SME-027,4,68297.21,59144.67,1,0,0.0369,13.48,0
SME-027,5,52590.94,48179.45,4,1,0.1062,13.78,0
SME-027,6,87575.65,60519.26,2,1,0.2059,14.17,0
SME-027,7,62577.64,41394.96,0,4,0.2177,14.88,0
SME-027,8,77347.87,58790.74,2,0,0.1353,15.21,0
SME-027,9,72182.99,73308.01,3,0,0.0866,14.65,0
SME-027,10,79977.18,60428.72,4,2,0.0423,14.3,0
SME-027,11,58730.35,64757.63,3,1,0.1248,12.9,0
SME-027,12,76322.97,60847.82,2,0,0.1294,13.46,0
SME-028,1,12319.99,14402.85,3,1,0.3224,1.08,1
SME-028,2,19624.54,19144.02,3,0,0.2287,2.25,1
SME-028,3,19106.27,18345.01,3,3,0.1956,2.17,1
SME-028,4,14859.79,15338.11,6,1,0.1195,1.22,1
SME-028,5,16208.2,22873.85,1,0,0.1059,2.21,1
SME-028,6,13859.83,14641.59,1,1,0.0643,1.75,1
SME-028,7,13807.48,14213.57,3,1,0.0943,1.08,1
SME-028,8,18112.63,18690.22,4,0,0.1722,1.61,1
SME-028,9,14231.73,17589.61,3,0,0.1731,2.04,1
SME-028,10,11641.53,11613.33,9,0,0.269,1.85,1
SME-028,11,13472.75,16030.92,6,3,0.1767,1.74,1
SME-028,12,14235.86,18789.82,7,5,0.1725,0.67,1
SME-029,1,36620.29,30479.45,1,1,0.058,8.67,0
SME-029,2,32674.45,32877.83,0,0,0.0569,8.03,0
SME-029,3,33983.82,35573.43,2,1,0.0477,8.54,0
SME-029,4,26670.76,23006.54,1,2,0.1023,9.38,0
SME-029,5,37252.81,38478.04,3,0,0.1356,9.23,0
SME-029,6,31343.59,30480.98,1,0,0.1364,9.2,0
SME-029,7,38829.45,37396.77,2,0,0.09,8.68,0
SME-029,8,41144.27,37348.53,3,0,0.1127,9.23,0
SME-029,9,32261.97,31782.81,0,0,0.1006,9.46,0
SME-029,10,37801.2,30899.65,1,1,0.0988,9.08,0
SME-029,11,27585.66,23509.61,1,0,0.1283,8.93,0
SME-029,12,31031.61,23944.64,1,0,0.132,8.08,0
SME-030,1,24060.92,32062.61,3,1,0.1881,1.12,1
SME-030,2,26204.3,27634.45,3,2,0.0426,2.07,1
SME-030,3,22283.0,20998.19,2,1,0.0663,2.45,1
SME-030,4,29620.06,32580.15,2,0,0.1151,1.48,1
SME-030,5,21591.41,19338.59,4,0,0.1483,2.51,1
SME-030,6,24677.91,28236.67,2,0,0.1307,1.73,1
SME-030,7,19717.09,20115.77,2,3,0.1178,1.74,1
SME-030,8,23599.28,24846.65,3,4,0.139,2.03,1
SME-030,9,20374.61,24880.07,3,1,0.1298,2.1,1
SME-030,10,18747.04,22622.46,6,0,0.1742,0.8,1
SME-030,11,20190.41,23354.71,8,1,0.109,1.97,1
SME-030,12,14213.51,13410.54,4,5,0.2663,1.59,1
SME-031,1,52224.54,28509.36,2,0,0.0805,7.36,0
SME-031,2,71852.93,45555.97,2,0,0.1582,6.38,0
SME-031,3,66611.43,45317.51,1,0,0.1305,7.23,0
SME-031,4,54444.68,37476.45,4,2,0.1134,7.21,0
SME-031,5,67885.45,48957.78,3,0,0.0962,8.13,0
SME-031,6,56405.51,49167.09,1,1,0.0995,6.99,0
SME-031,7,49115.99,31361.76,2,3,0.1337,7.12,0
SME-031,8,51251.06,29859.57,1,0,0.0586,8.56,0
SME-031,9,52041.17,36529.05,2,0,0.0243,7.84,0
SME-031,10,57656.26,33306.17,2,0,0.0532,7.17,0
SME-031,11,54780.94,44178.65,0,2,0.0418,7.58,0
SME-031,12,46032.99,35474.88,0,1,0.0936,7.21,0
SME-032,1,23938.17,19209.44,1,0,0.1322,8.8,0
SME-032,2,30707.42,31010.59,0,0,0.1239,8.02,0
SME-032,3,26827.8,21634.62,3,0,0.1021,9.16,0
SME-032,4,27880.85,31930.27,0,1,0.0575,8.65,0
SME-032,5,28817.49,31474.73,0,1,0.0292,7.65,0
SME-032,6,30203.1,29935.85,0,0,0.0329,7.56,0
SME-032,7,22732.92,21945.78,0,0,0.1191,8.64,0
SME-032,8,25201.64,20275.39,3,1,0.1193,8.15,0
SME-032,9,30916.18,23955.06,0,2,0.1304,9.62,0
SME-032,10,29454.06,22195.89,0,1,0.085,8.47,0
SME-032,11,27283.96,25439.39,1,0,0.0511,8.64,0
SME-032,12,32143.63,33219.25,1,0,0.0671,8.15,0
SME-033,1,35324.82,31867.96,0,0,0.1342,11.31,0
SME-033,2,34214.11,29864.85,4,0,0.016,10.71,0
SME-033,3,29403.8,28431.95,3,1,0.0779,10.87,0
SME-033,4,35671.1,28250.31,1,1,0.0809,11.13,0
SME-033,5,35747.55,26626.29,0,1,0.0885,10.57,0
SME-033,6,50031.9,40267.33,0,0,0.1668,10.97,0
SME-033,7,37156.82,32990.5,1,1,0.1568,10.66,0
SME-033,8,30269.32,21802.51,1,2,0.2092,10.03,0
SME-033,9,38839.82,32956.79,1,1,0.1047,10.61,0
SME-033,10,37251.88,33616.27,0,1,0.105,10.8,0
SME-033,11,28443.7,19921.06,0,2,0.1312,11.58,0
SME-033,12,28684.72,23244.96,3,0,0.1302,11.61,0
SME-034,1,48681.85,38877.85,2,0,0.0858,4.9,0
SME-034,2,45045.3,32804.23,2,2,0.0388,3.32,0
SME-034,3,43732.61,34742.95,1,2,0.0457,3.54,0
SME-034,4,39628.15,40513.86,0,2,0.0539,4.94,0
SME-034,5,46813.05,44530.8,1,0,0.0678,4.48,0
SME-034,6,43751.99,39554.19,4,1,0.0678,3.56,0
SME-034,7,48310.11,39413.81,0,0,0.041,5.24,0
SME-034,8,37325.01,30572.22,2,0,0.1045,4.07,0
SME-034,9,44598.61,27349.28,3,1,0.1051,4.13,0
SME-034,10,32266.46,24025.36,1,0,0.133,4.12,0
SME-034,11,53865.47,50382.41,1,0,0.203,4.89,0
SME-034,12,34887.89,33847.01,2,0,0.2386,4.06,0
SME-035,1,26512.05,22309.61,0,3,0.199,6.58,1
SME-035,2,28742.09,27028.83,4,0,0.0404,4.95,1
SME-035,3,31136.23,30640.85,0,2,0.0656,3.99,1
SME-035,4,25592.18,23162.46,1,4,0.0797,4.89,1
SME-035,5,26609.63,18828.82,2,0,0.0867,5.15,1
SME-035,6,22990.35,16778.42,1,2,0.0608,4.75,1
SME-035,7,26810.99,25797.04,4,2,0.0872,5.36,1
SME-035,8,22065.5,20693.69,0,1,0.1259,3.91,1
SME-035,9,21203.75,19606.6,6,0,0.1482,4.06,1
SME-035,10,22641.05,19498.47,5,4,0.1265,3.15,1
SME-035,11,20386.04,17722.99,13,3,0.1667,2.63,1
SME-035,12,17713.55,13248.84,7,0,0.1821,3.87,1
SME-036,1,33719.29,35676.13,7,2,0.393,4.39,1
SME-036,2,42193.68,42150.74,2,0,0.1116,3.1,1
